,,Brain region,"Brain 1
# of Samples","Brain 2
# of Samples",Sampled structures,Isolation Method
Telencephalon,Cortex,Frontal Cortex,130 (63),119 (61),"Orbital gyri; superior, middle, and inferior frontal gyri; rostral and subcallosal gyri; precentral gyrus; paracentral lobule ",Macro
,,Parietal Cortex,67 (32),54 (26),Superior and inferior parietal lobules; postcentral gyrus; paracentral lobule; precuneus,Macro
,,Temporal Cortex,125 (61),74 (37),"Superior, middle, and inferior temporal gyri; fusiform gyrus; transverse gyri; planum temporale and planum polare; temporal pole",Macro
,,Occipital Cortex,28 (15),43 (22),Striate and extra-striate cortex from the cuneus and lingual gyrus; occipito-temporal gyrus; lateral occipital gyri,Macro
,,Insula,10 (4),7 (3),Short and long insular gyri,Macro
,,Cingulate Gyrus,21 (10),27 (11),"Anterior, posterior, and retrosplenial regions of the cingulate cortex",Macro
,,Parahippocampal Gyrus,13 (7),8 (4),Parahippocampal gyrus,Macro
,,Hippocampus,60 (32),54 (27),CA1-CA4 pyramidal cell layers; dentate gyrus; subiculum,LMD
,Cerebral Nuclei,Striatum,34 (17),44 (22),Caudate nucleus; putamen; nucleus accumbens,Macro/ LMD
,,Globus Pallidus,8 (4),13 (6),Globus pallidus,Macro/ LMD
,,Basal Forebrain,7 (4),10 (5),Septal nuclei; cholinergic basal forebrain; bed nucleus of the stria terminalis,LMD
,,Claustrum,17 (8),11 (6),Claustrum,LMD
,,Amygdala,12 (12),22 (9),"Lateral, basolateral, basomedial, central, and cortico-medial amygdalar nuclei; amygdaloid transition zone",LMD
Diencephalon,,Dorsal Thalamus,46 (23),39 (17),"Anterior, medial, lateral, posterior, and intralaminar nuclei of the thalamus; lateral and medial geniculate nuclei",Macro/ LMD
,,Ventral Thalamus,7 (3),10 (5),Reticular nucleus and zona incerta,LMD
,,Subthalamus,3 (1),3 (2),Subthalamic nucleus,LMD
,,Epithalamus,8 (3),2 (1),Habenular nuclei; paraventricular nucleus of the thalamus,LMD
,,Hypothalamus,9 (5),22 (11),"Anterior, lateral, posterior, and preoptic hypthalamic areas; paraventricular, supraoptic, ventromedial hypothalamic nuclei; mammillary bodies",LMD
,,Mesencephelon,44 (27),62 (34),"Cranial nerve nuclei 3 and 4; substantia nigra; red nucleus; ventral tegmental area; pretectal regions; midbrain raphe nuclei, superior and inferior colliculi",LMD
Metencephalon,,Cerebellar Cortex,32 (21),27 (18),"Cortex from the lateral hemispheres, paravermis, and vermis",Macro
,,Cerebellar Nuclei,12 (5),7 (5),Deep cerebellar nuclei,LMD
,,Basal Pons,12 (5),12 (6),Pontine grey,LMD
,,Pontine Tegmentum,45 (22),38 (22),Cranial nerve nuclei 5-7; pontine reticular formation and raphe pontis; locus coeruleus; superior olivary complex; central grey of the pons,LMD
,,Myelencephelon,78 (39),85 (46),Cranial nerve nuclei 8-12; spinal portion of the trigeminal nucleus; raphe nuclei and reticular formation of the medula; arcuate nucleus; inferior olivary complex; cuneate nucleus; gracile nucleus; central glial substance,LMD
,,White Matter,2 (1),1 (1),Corpus callosum and cingulum bundle,Macro
